TXNAME,GENEID
TRINITY_DN13098_c0_g1_i1,TRINITY_DN13098_c0_g1_i1
TRINITY_DN13006_c0_g1_i1,TRINITY_DN13006_c0_g1_i1
TRINITY_DN13093_c1_g1_i1,TRINITY_DN13093_c1_g1_i1
TRINITY_DN13093_c0_g1_i1,TRINITY_DN13093_c0_g1_i1
TRINITY_DN13001_c0_g1_i1,TRINITY_DN13001_c0_g1_i1
TRINITY_DN13062_c0_g1_i3,TRINITY_DN13062_c0_g1_i3
TRINITY_DN13065_c0_g1_i1,TRINITY_DN13065_c0_g1_i1
TRINITY_DN13034_c0_g1_i1,TRINITY_DN13034_c0_g1_i1
TRINITY_DN13089_c0_g1_i1,TRINITY_DN13089_c0_g1_i1
TRINITY_DN13005_c0_g1_i1,TRINITY_DN13005_c0_g1_i1
TRINITY_DN13054_c0_g1_i1,TRINITY_DN13054_c0_g1_i1
TRINITY_DN13055_c0_g1_i3,TRINITY_DN13055_c0_g1_i3
TRINITY_DN13017_c0_g1_i2,TRINITY_DN13017_c0_g1_i2
TRINITY_DN16105_c0_g1_i1,TRINITY_DN16105_c0_g1_i1
TRINITY_DN16105_c3_g1_i1,TRINITY_DN16105_c3_g1_i1
TRINITY_DN16105_c1_g1_i1,TRINITY_DN16105_c1_g1_i1
TRINITY_DN16105_c2_g1_i1,TRINITY_DN16105_c2_g1_i1
TRINITY_DN16105_c1_g5_i1,TRINITY_DN16105_c1_g5_i1
TRINITY_DN16194_c0_g1_i4,TRINITY_DN16194_c0_g1_i4
TRINITY_DN16189_c0_g1_i4,TRINITY_DN16189_c0_g1_i4
TRINITY_DN16189_c0_g2_i1,TRINITY_DN16189_c0_g2_i1
TRINITY_DN16189_c3_g1_i1,TRINITY_DN16189_c3_g1_i1
TRINITY_DN16189_c1_g1_i1,TRINITY_DN16189_c1_g1_i1
TRINITY_DN16173_c0_g1_i1,TRINITY_DN16173_c0_g1_i1
TRINITY_DN16172_c0_g1_i1,TRINITY_DN16172_c0_g1_i1
TRINITY_DN16172_c0_g2_i1,TRINITY_DN16172_c0_g2_i1
TRINITY_DN16116_c0_g1_i1,TRINITY_DN16116_c0_g1_i1
TRINITY_DN16151_c0_g1_i1,TRINITY_DN16151_c0_g1_i1
TRINITY_DN16153_c0_g1_i4,TRINITY_DN16153_c0_g1_i4
TRINITY_DN16184_c0_g1_i1,TRINITY_DN16184_c0_g1_i1
TRINITY_DN16152_c0_g1_i1,TRINITY_DN16152_c0_g1_i1
TRINITY_DN16132_c0_g1_i3,TRINITY_DN16132_c0_g1_i3
TRINITY_DN16149_c0_g1_i1,TRINITY_DN16149_c0_g1_i1
TRINITY_DN16102_c0_g1_i1,TRINITY_DN16102_c0_g1_i1
TRINITY_DN16166_c0_g1_i1,TRINITY_DN16166_c0_g1_i1
TRINITY_DN16169_c0_g1_i1,TRINITY_DN16169_c0_g1_i1
TRINITY_DN16100_c0_g1_i2,TRINITY_DN16100_c0_g1_i2
TRINITY_DN16124_c0_g1_i1,TRINITY_DN16124_c0_g1_i1
TRINITY_DN16124_c0_g2_i1,TRINITY_DN16124_c0_g2_i1
TRINITY_DN16193_c0_g1_i3,TRINITY_DN16193_c0_g1_i3
TRINITY_DN16148_c0_g1_i2,TRINITY_DN16148_c0_g1_i2
TRINITY_DN16110_c0_g1_i1,TRINITY_DN16110_c0_g1_i1
TRINITY_DN16125_c0_g1_i1,TRINITY_DN16125_c0_g1_i1
TRINITY_DN16136_c0_g1_i1,TRINITY_DN16136_c0_g1_i1
TRINITY_DN16140_c0_g1_i1,TRINITY_DN16140_c0_g1_i1
TRINITY_DN16158_c0_g1_i1,TRINITY_DN16158_c0_g1_i1
TRINITY_DN16185_c0_g1_i2,TRINITY_DN16185_c0_g1_i2
TRINITY_DN16174_c0_g1_i1,TRINITY_DN16174_c0_g1_i1
TRINITY_DN16174_c0_g2_i1,TRINITY_DN16174_c0_g2_i1
TRINITY_DN16133_c0_g1_i2,TRINITY_DN16133_c0_g1_i2
TRINITY_DN16163_c0_g2_i1,TRINITY_DN16163_c0_g2_i1
TRINITY_DN16101_c0_g1_i1,TRINITY_DN16101_c0_g1_i1
TRINITY_DN16168_c0_g1_i1,TRINITY_DN16168_c0_g1_i1
TRINITY_DN16168_c0_g3_i1,TRINITY_DN16168_c0_g3_i1
TRINITY_DN16103_c0_g1_i1,TRINITY_DN16103_c0_g1_i1
TRINITY_DN16176_c0_g1_i1,TRINITY_DN16176_c0_g1_i1
TRINITY_DN16171_c2_g1_i1,TRINITY_DN16171_c2_g1_i1
TRINITY_DN16171_c0_g1_i1,TRINITY_DN16171_c0_g1_i1
TRINITY_DN16156_c0_g1_i2,TRINITY_DN16156_c0_g1_i2
TRINITY_DN16164_c0_g1_i1,TRINITY_DN16164_c0_g1_i1
TRINITY_DN16198_c0_g2_i1,TRINITY_DN16198_c0_g2_i1
TRINITY_DN16154_c0_g1_i1,TRINITY_DN16154_c0_g1_i1
TRINITY_DN16142_c0_g1_i1,TRINITY_DN16142_c0_g1_i1
TRINITY_DN16180_c0_g1_i1,TRINITY_DN16180_c0_g1_i1
TRINITY_DN16111_c0_g2_i1,TRINITY_DN16111_c0_g2_i1
TRINITY_DN16170_c0_g4_i1,TRINITY_DN16170_c0_g4_i1
TRINITY_DN16170_c0_g1_i1,TRINITY_DN16170_c0_g1_i1
TRINITY_DN16170_c0_g2_i1,TRINITY_DN16170_c0_g2_i1
TRINITY_DN16170_c0_g3_i1,TRINITY_DN16170_c0_g3_i1
TRINITY_DN16147_c0_g1_i1,TRINITY_DN16147_c0_g1_i1
TRINITY_DN16147_c0_g2_i1,TRINITY_DN16147_c0_g2_i1
TRINITY_DN16187_c0_g1_i1,TRINITY_DN16187_c0_g1_i1
TRINITY_DN16187_c0_g2_i1,TRINITY_DN16187_c0_g2_i1
TRINITY_DN16131_c3_g1_i2,TRINITY_DN16131_c3_g1_i2
TRINITY_DN16131_c0_g1_i1,TRINITY_DN16131_c0_g1_i1
TRINITY_DN16118_c0_g1_i1,TRINITY_DN16118_c0_g1_i1
TRINITY_DN16118_c0_g2_i1,TRINITY_DN16118_c0_g2_i1
