TXNAME,GENEID
TRINITY_DN25028_c0_g1_i1,TRINITY_DN25028_c0_g1_i1
TRINITY_DN25003_c0_g1_i1,TRINITY_DN25003_c0_g1_i1
TRINITY_DN25087_c0_g1_i1,TRINITY_DN25087_c0_g1_i1
TRINITY_DN25080_c4_g1_i1,TRINITY_DN25080_c4_g1_i1
TRINITY_DN25080_c1_g1_i1,TRINITY_DN25080_c1_g1_i1
TRINITY_DN25012_c0_g1_i1,TRINITY_DN25012_c0_g1_i1
TRINITY_DN25029_c0_g1_i1,TRINITY_DN25029_c0_g1_i1
TRINITY_DN25025_c0_g1_i1,TRINITY_DN25025_c0_g1_i1
TRINITY_DN25033_c0_g1_i1,TRINITY_DN25033_c0_g1_i1
TRINITY_DN25074_c0_g1_i1,TRINITY_DN25074_c0_g1_i1
TRINITY_DN25026_c0_g1_i1,TRINITY_DN25026_c0_g1_i1
TRINITY_DN25096_c0_g1_i1,TRINITY_DN25096_c0_g1_i1
TRINITY_DN25094_c0_g3_i1,TRINITY_DN25094_c0_g3_i1
TRINITY_DN25009_c0_g1_i1,TRINITY_DN25009_c0_g1_i1
TRINITY_DN25008_c0_g1_i1,TRINITY_DN25008_c0_g1_i1
TRINITY_DN25045_c0_g1_i1,TRINITY_DN25045_c0_g1_i1
TRINITY_DN25060_c0_g1_i1,TRINITY_DN25060_c0_g1_i1
TRINITY_DN25097_c0_g2_i1,TRINITY_DN25097_c0_g2_i1
TRINITY_DN25017_c0_g1_i1,TRINITY_DN25017_c0_g1_i1
TRINITY_DN25049_c0_g1_i1,TRINITY_DN25049_c0_g1_i1
TRINITY_DN25073_c0_g1_i1,TRINITY_DN25073_c0_g1_i1
TRINITY_DN25090_c0_g1_i1,TRINITY_DN25090_c0_g1_i1
TRINITY_DN25002_c0_g1_i1,TRINITY_DN25002_c0_g1_i1
TRINITY_DN25013_c0_g2_i1,TRINITY_DN25013_c0_g2_i1
TRINITY_DN25013_c0_g3_i1,TRINITY_DN25013_c0_g3_i1
TRINITY_DN25005_c0_g1_i1,TRINITY_DN25005_c0_g1_i1
TRINITY_DN25075_c0_g1_i3,TRINITY_DN25075_c0_g1_i3
TRINITY_DN25081_c0_g1_i1,TRINITY_DN25081_c0_g1_i1
TRINITY_DN25053_c0_g1_i1,TRINITY_DN25053_c0_g1_i1
TRINITY_DN9727_c0_g1_i3,TRINITY_DN9727_c0_g1_i3
TRINITY_DN9727_c3_g2_i1,TRINITY_DN9727_c3_g2_i1
TRINITY_DN9727_c2_g2_i1,TRINITY_DN9727_c2_g2_i1
TRINITY_DN9727_c2_g3_i1,TRINITY_DN9727_c2_g3_i1
TRINITY_DN9727_c2_g1_i5,TRINITY_DN9727_c2_g1_i5
TRINITY_DN9727_c2_g4_i1,TRINITY_DN9727_c2_g4_i1
TRINITY_DN9724_c0_g1_i1,TRINITY_DN9724_c0_g1_i1
TRINITY_DN9787_c5_g1_i1,TRINITY_DN9787_c5_g1_i1
TRINITY_DN9787_c0_g1_i1,TRINITY_DN9787_c0_g1_i1
TRINITY_DN9787_c0_g2_i1,TRINITY_DN9787_c0_g2_i1
TRINITY_DN9787_c4_g1_i2,TRINITY_DN9787_c4_g1_i2
TRINITY_DN9787_c7_g1_i1,TRINITY_DN9787_c7_g1_i1
TRINITY_DN9787_c2_g2_i6,TRINITY_DN9787_c2_g2_i6
TRINITY_DN9787_c2_g3_i3,TRINITY_DN9787_c2_g3_i3
TRINITY_DN9787_c1_g1_i3,TRINITY_DN9787_c1_g1_i3
TRINITY_DN9787_c2_g1_i2,TRINITY_DN9787_c2_g1_i2
TRINITY_DN9787_c6_g1_i1,TRINITY_DN9787_c6_g1_i1
TRINITY_DN9705_c0_g1_i5,TRINITY_DN9705_c0_g1_i5
TRINITY_DN9784_c0_g1_i3,TRINITY_DN9784_c0_g1_i3
TRINITY_DN9792_c0_g1_i1,TRINITY_DN9792_c0_g1_i1
TRINITY_DN9792_c0_g2_i1,TRINITY_DN9792_c0_g2_i1
TRINITY_DN9799_c0_g1_i1,TRINITY_DN9799_c0_g1_i1
TRINITY_DN9700_c0_g1_i2,TRINITY_DN9700_c0_g1_i2
TRINITY_DN9780_c0_g1_i4,TRINITY_DN9780_c0_g1_i4
TRINITY_DN9736_c0_g1_i1,TRINITY_DN9736_c0_g1_i1
TRINITY_DN9791_c0_g1_i1,TRINITY_DN9791_c0_g1_i1
TRINITY_DN9791_c0_g2_i1,TRINITY_DN9791_c0_g2_i1
TRINITY_DN9773_c0_g1_i1,TRINITY_DN9773_c0_g1_i1
TRINITY_DN9773_c0_g2_i1,TRINITY_DN9773_c0_g2_i1
TRINITY_DN9793_c0_g1_i1,TRINITY_DN9793_c0_g1_i1
TRINITY_DN9785_c0_g1_i1,TRINITY_DN9785_c0_g1_i1
TRINITY_DN9781_c0_g1_i1,TRINITY_DN9781_c0_g1_i1
TRINITY_DN9781_c0_g2_i1,TRINITY_DN9781_c0_g2_i1
TRINITY_DN9716_c0_g1_i1,TRINITY_DN9716_c0_g1_i1
TRINITY_DN9732_c0_g1_i1,TRINITY_DN9732_c0_g1_i1
TRINITY_DN9772_c0_g1_i1,TRINITY_DN9772_c0_g1_i1
TRINITY_DN9772_c0_g2_i1,TRINITY_DN9772_c0_g2_i1
TRINITY_DN9741_c0_g1_i1,TRINITY_DN9741_c0_g1_i1
TRINITY_DN9721_c0_g1_i1,TRINITY_DN9721_c0_g1_i1
TRINITY_DN9764_c1_g1_i1,TRINITY_DN9764_c1_g1_i1
TRINITY_DN9764_c0_g1_i6,TRINITY_DN9764_c0_g1_i6
TRINITY_DN9720_c0_g1_i3,TRINITY_DN9720_c0_g1_i3
TRINITY_DN9777_c0_g1_i4,TRINITY_DN9777_c0_g1_i4
TRINITY_DN9769_c0_g1_i2,TRINITY_DN9769_c0_g1_i2
TRINITY_DN9795_c0_g2_i4,TRINITY_DN9795_c0_g2_i4
TRINITY_DN9795_c0_g3_i1,TRINITY_DN9795_c0_g3_i1
TRINITY_DN9742_c0_g1_i2,TRINITY_DN9742_c0_g1_i2
TRINITY_DN9703_c0_g1_i1,TRINITY_DN9703_c0_g1_i1
TRINITY_DN9710_c0_g1_i1,TRINITY_DN9710_c0_g1_i1
TRINITY_DN9789_c0_g1_i7,TRINITY_DN9789_c0_g1_i7
TRINITY_DN9789_c1_g3_i1,TRINITY_DN9789_c1_g3_i1
TRINITY_DN9789_c1_g2_i3,TRINITY_DN9789_c1_g2_i3
TRINITY_DN9789_c1_g1_i1,TRINITY_DN9789_c1_g1_i1
TRINITY_DN9770_c1_g1_i1,TRINITY_DN9770_c1_g1_i1
TRINITY_DN9770_c0_g1_i3,TRINITY_DN9770_c0_g1_i3
TRINITY_DN9770_c0_g2_i1,TRINITY_DN9770_c0_g2_i1
TRINITY_DN9783_c0_g1_i4,TRINITY_DN9783_c0_g1_i4
TRINITY_DN9761_c0_g1_i1,TRINITY_DN9761_c0_g1_i1
TRINITY_DN9712_c0_g1_i4,TRINITY_DN9712_c0_g1_i4
TRINITY_DN9733_c0_g1_i6,TRINITY_DN9733_c0_g1_i6
TRINITY_DN9779_c0_g1_i1,TRINITY_DN9779_c0_g1_i1
TRINITY_DN9767_c0_g1_i1,TRINITY_DN9767_c0_g1_i1
TRINITY_DN9767_c0_g2_i1,TRINITY_DN9767_c0_g2_i1
TRINITY_DN9731_c0_g1_i3,TRINITY_DN9731_c0_g1_i3
TRINITY_DN9752_c0_g1_i4,TRINITY_DN9752_c0_g1_i4
TRINITY_DN9752_c0_g2_i1,TRINITY_DN9752_c0_g2_i1
TRINITY_DN9757_c0_g1_i1,TRINITY_DN9757_c0_g1_i1
TRINITY_DN9719_c0_g1_i1,TRINITY_DN9719_c0_g1_i1
TRINITY_DN9794_c0_g1_i3,TRINITY_DN9794_c0_g1_i3
TRINITY_DN9735_c0_g1_i1,TRINITY_DN9735_c0_g1_i1
TRINITY_DN9704_c0_g1_i1,TRINITY_DN9704_c0_g1_i1
TRINITY_DN9715_c0_g1_i1,TRINITY_DN9715_c0_g1_i1
TRINITY_DN9706_c0_g1_i1,TRINITY_DN9706_c0_g1_i1
TRINITY_DN9797_c0_g1_i1,TRINITY_DN9797_c0_g1_i1
TRINITY_DN9753_c0_g1_i1,TRINITY_DN9753_c0_g1_i1
TRINITY_DN9759_c0_g2_i1,TRINITY_DN9759_c0_g2_i1
TRINITY_DN9796_c0_g1_i2,TRINITY_DN9796_c0_g1_i2
TRINITY_DN9740_c0_g1_i1,TRINITY_DN9740_c0_g1_i1
TRINITY_DN9702_c0_g1_i3,TRINITY_DN9702_c0_g1_i3
TRINITY_DN9723_c0_g1_i1,TRINITY_DN9723_c0_g1_i1
TRINITY_DN9713_c0_g1_i1,TRINITY_DN9713_c0_g1_i1
TRINITY_DN9709_c0_g1_i1,TRINITY_DN9709_c0_g1_i1
TRINITY_DN9798_c0_g1_i1,TRINITY_DN9798_c0_g1_i1
TRINITY_DN9745_c0_g1_i3,TRINITY_DN9745_c0_g1_i3
TRINITY_DN9760_c0_g1_i1,TRINITY_DN9760_c0_g1_i1
TRINITY_DN9743_c0_g1_i4,TRINITY_DN9743_c0_g1_i4
TRINITY_DN9708_c0_g1_i1,TRINITY_DN9708_c0_g1_i1
TRINITY_DN9739_c0_g1_i5,TRINITY_DN9739_c0_g1_i5
TRINITY_DN9790_c0_g1_i1,TRINITY_DN9790_c0_g1_i1
TRINITY_DN9737_c0_g1_i1,TRINITY_DN9737_c0_g1_i1
TRINITY_DN9737_c0_g2_i1,TRINITY_DN9737_c0_g2_i1
TRINITY_DN9762_c0_g1_i1,TRINITY_DN9762_c0_g1_i1
TRINITY_DN9766_c0_g1_i2,TRINITY_DN9766_c0_g1_i2
TRINITY_DN9775_c0_g1_i1,TRINITY_DN9775_c0_g1_i1
TRINITY_DN9711_c0_g4_i3,TRINITY_DN9711_c0_g4_i3
TRINITY_DN9711_c0_g5_i1,TRINITY_DN9711_c0_g5_i1
TRINITY_DN9711_c0_g1_i7,TRINITY_DN9711_c0_g1_i7
TRINITY_DN9711_c0_g2_i3,TRINITY_DN9711_c0_g2_i3
TRINITY_DN9711_c0_g3_i3,TRINITY_DN9711_c0_g3_i3
TRINITY_DN9711_c3_g1_i1,TRINITY_DN9711_c3_g1_i1
TRINITY_DN9711_c1_g1_i3,TRINITY_DN9711_c1_g1_i3
TRINITY_DN9711_c2_g1_i2,TRINITY_DN9711_c2_g1_i2
TRINITY_DN9765_c0_g1_i1,TRINITY_DN9765_c0_g1_i1
TRINITY_DN9786_c0_g1_i6,TRINITY_DN9786_c0_g1_i6
TRINITY_DN9786_c3_g1_i1,TRINITY_DN9786_c3_g1_i1
TRINITY_DN9786_c4_g1_i1,TRINITY_DN9786_c4_g1_i1
TRINITY_DN9786_c2_g2_i1,TRINITY_DN9786_c2_g2_i1
TRINITY_DN9717_c0_g1_i1,TRINITY_DN9717_c0_g1_i1
TRINITY_DN9763_c0_g1_i1,TRINITY_DN9763_c0_g1_i1
TRINITY_DN9714_c0_g1_i4,TRINITY_DN9714_c0_g1_i4
TRINITY_DN9747_c0_g1_i1,TRINITY_DN9747_c0_g1_i1
TRINITY_DN9747_c0_g2_i2,TRINITY_DN9747_c0_g2_i2
TRINITY_DN9751_c0_g1_i7,TRINITY_DN9751_c0_g1_i7
TRINITY_DN9725_c0_g1_i5,TRINITY_DN9725_c0_g1_i5
TRINITY_DN9778_c0_g1_i5,TRINITY_DN9778_c0_g1_i5
TRINITY_DN9776_c1_g2_i1,TRINITY_DN9776_c1_g2_i1
TRINITY_DN9776_c1_g1_i10,TRINITY_DN9776_c1_g1_i10
TRINITY_DN9776_c0_g1_i3,TRINITY_DN9776_c0_g1_i3
TRINITY_DN9748_c0_g1_i2,TRINITY_DN9748_c0_g1_i2
TRINITY_DN9728_c0_g1_i1,TRINITY_DN9728_c0_g1_i1
TRINITY_DN9756_c0_g1_i1,TRINITY_DN9756_c0_g1_i1
TRINITY_DN9756_c0_g2_i1,TRINITY_DN9756_c0_g2_i1
TRINITY_DN31559_c0_g1_i1,TRINITY_DN31559_c0_g1_i1
TRINITY_DN31539_c0_g1_i1,TRINITY_DN31539_c0_g1_i1
TRINITY_DN31511_c0_g1_i1,TRINITY_DN31511_c0_g1_i1
TRINITY_DN31509_c0_g1_i1,TRINITY_DN31509_c0_g1_i1
TRINITY_DN31500_c0_g1_i1,TRINITY_DN31500_c0_g1_i1
TRINITY_DN31545_c0_g1_i1,TRINITY_DN31545_c0_g1_i1
TRINITY_DN31575_c0_g1_i1,TRINITY_DN31575_c0_g1_i1
TRINITY_DN31538_c1_g1_i1,TRINITY_DN31538_c1_g1_i1
TRINITY_DN31538_c0_g1_i1,TRINITY_DN31538_c0_g1_i1
TRINITY_DN31538_c0_g2_i1,TRINITY_DN31538_c0_g2_i1
TRINITY_DN31554_c0_g1_i1,TRINITY_DN31554_c0_g1_i1
TRINITY_DN31570_c0_g1_i2,TRINITY_DN31570_c0_g1_i2
TRINITY_DN31572_c0_g1_i2,TRINITY_DN31572_c0_g1_i2
TRINITY_DN31524_c0_g1_i1,TRINITY_DN31524_c0_g1_i1
TRINITY_DN31504_c0_g1_i1,TRINITY_DN31504_c0_g1_i1
TRINITY_DN31526_c0_g1_i1,TRINITY_DN31526_c0_g1_i1
TRINITY_DN31550_c0_g1_i1,TRINITY_DN31550_c0_g1_i1
TRINITY_DN31508_c0_g1_i1,TRINITY_DN31508_c0_g1_i1
TRINITY_DN31562_c0_g1_i1,TRINITY_DN31562_c0_g1_i1
TRINITY_DN31562_c0_g2_i1,TRINITY_DN31562_c0_g2_i1
TRINITY_DN31566_c0_g1_i1,TRINITY_DN31566_c0_g1_i1
TRINITY_DN31543_c0_g1_i1,TRINITY_DN31543_c0_g1_i1
TRINITY_DN31521_c0_g1_i1,TRINITY_DN31521_c0_g1_i1
TRINITY_DN31521_c0_g2_i1,TRINITY_DN31521_c0_g2_i1
TRINITY_DN31516_c0_g1_i1,TRINITY_DN31516_c0_g1_i1
TRINITY_DN20881_c0_g1_i1,TRINITY_DN20881_c0_g1_i1
TRINITY_DN20897_c0_g1_i1,TRINITY_DN20897_c0_g1_i1
TRINITY_DN20804_c0_g1_i1,TRINITY_DN20804_c0_g1_i1
TRINITY_DN20850_c0_g1_i1,TRINITY_DN20850_c0_g1_i1
TRINITY_DN20889_c0_g1_i1,TRINITY_DN20889_c0_g1_i1
TRINITY_DN20889_c0_g2_i1,TRINITY_DN20889_c0_g2_i1
TRINITY_DN20866_c0_g1_i1,TRINITY_DN20866_c0_g1_i1
TRINITY_DN20832_c0_g1_i1,TRINITY_DN20832_c0_g1_i1
TRINITY_DN20800_c0_g2_i1,TRINITY_DN20800_c0_g2_i1
TRINITY_DN20802_c0_g1_i1,TRINITY_DN20802_c0_g1_i1
TRINITY_DN20869_c0_g1_i1,TRINITY_DN20869_c0_g1_i1
TRINITY_DN20851_c0_g1_i1,TRINITY_DN20851_c0_g1_i1
TRINITY_DN20891_c1_g1_i1,TRINITY_DN20891_c1_g1_i1
TRINITY_DN20891_c0_g1_i1,TRINITY_DN20891_c0_g1_i1
TRINITY_DN20840_c0_g1_i1,TRINITY_DN20840_c0_g1_i1
TRINITY_DN20840_c0_g2_i1,TRINITY_DN20840_c0_g2_i1
TRINITY_DN20884_c0_g5_i1,TRINITY_DN20884_c0_g5_i1
TRINITY_DN20884_c0_g1_i3,TRINITY_DN20884_c0_g1_i3
TRINITY_DN20834_c0_g1_i1,TRINITY_DN20834_c0_g1_i1
TRINITY_DN20819_c0_g1_i1,TRINITY_DN20819_c0_g1_i1
TRINITY_DN20860_c0_g1_i1,TRINITY_DN20860_c0_g1_i1
TRINITY_DN20886_c0_g1_i1,TRINITY_DN20886_c0_g1_i1
TRINITY_DN20809_c0_g1_i1,TRINITY_DN20809_c0_g1_i1
TRINITY_DN20811_c0_g1_i1,TRINITY_DN20811_c0_g1_i1
TRINITY_DN20826_c0_g1_i1,TRINITY_DN20826_c0_g1_i1
TRINITY_DN20814_c0_g1_i1,TRINITY_DN20814_c0_g1_i1
TRINITY_DN20864_c1_g1_i1,TRINITY_DN20864_c1_g1_i1
TRINITY_DN20864_c0_g1_i7,TRINITY_DN20864_c0_g1_i7
TRINITY_DN20817_c0_g1_i1,TRINITY_DN20817_c0_g1_i1
TRINITY_DN20833_c0_g1_i1,TRINITY_DN20833_c0_g1_i1
TRINITY_DN20888_c0_g1_i1,TRINITY_DN20888_c0_g1_i1
TRINITY_DN20856_c0_g1_i1,TRINITY_DN20856_c0_g1_i1
TRINITY_DN20862_c0_g1_i1,TRINITY_DN20862_c0_g1_i1
TRINITY_DN20874_c0_g1_i1,TRINITY_DN20874_c0_g1_i1
TRINITY_DN20830_c0_g1_i1,TRINITY_DN20830_c0_g1_i1
TRINITY_DN20871_c0_g1_i1,TRINITY_DN20871_c0_g1_i1
TRINITY_DN20852_c0_g1_i4,TRINITY_DN20852_c0_g1_i4
TRINITY_DN20890_c0_g1_i2,TRINITY_DN20890_c0_g1_i2
TRINITY_DN20853_c0_g1_i1,TRINITY_DN20853_c0_g1_i1
TRINITY_DN20896_c0_g1_i1,TRINITY_DN20896_c0_g1_i1
TRINITY_DN20896_c0_g2_i1,TRINITY_DN20896_c0_g2_i1
TRINITY_DN20882_c0_g2_i3,TRINITY_DN20882_c0_g2_i3
TRINITY_DN20836_c0_g1_i1,TRINITY_DN20836_c0_g1_i1
TRINITY_DN20887_c0_g1_i1,TRINITY_DN20887_c0_g1_i1
TRINITY_DN20898_c0_g1_i1,TRINITY_DN20898_c0_g1_i1
TRINITY_DN20831_c0_g1_i2,TRINITY_DN20831_c0_g1_i2
TRINITY_DN20801_c0_g1_i1,TRINITY_DN20801_c0_g1_i1
TRINITY_DN15854_c0_g2_i1,TRINITY_DN15854_c0_g2_i1
TRINITY_DN15845_c1_g1_i1,TRINITY_DN15845_c1_g1_i1
TRINITY_DN15845_c0_g1_i1,TRINITY_DN15845_c0_g1_i1
TRINITY_DN15806_c0_g1_i1,TRINITY_DN15806_c0_g1_i1
TRINITY_DN15816_c0_g1_i1,TRINITY_DN15816_c0_g1_i1
TRINITY_DN15818_c0_g1_i1,TRINITY_DN15818_c0_g1_i1
TRINITY_DN15884_c0_g1_i1,TRINITY_DN15884_c0_g1_i1
TRINITY_DN15871_c0_g1_i1,TRINITY_DN15871_c0_g1_i1
TRINITY_DN15886_c2_g1_i1,TRINITY_DN15886_c2_g1_i1
TRINITY_DN15831_c0_g1_i1,TRINITY_DN15831_c0_g1_i1
TRINITY_DN15839_c0_g1_i2,TRINITY_DN15839_c0_g1_i2
TRINITY_DN15870_c0_g1_i1,TRINITY_DN15870_c0_g1_i1
TRINITY_DN15830_c0_g1_i1,TRINITY_DN15830_c0_g1_i1
TRINITY_DN15824_c0_g1_i1,TRINITY_DN15824_c0_g1_i1
TRINITY_DN15824_c0_g2_i1,TRINITY_DN15824_c0_g2_i1
TRINITY_DN15844_c0_g1_i3,TRINITY_DN15844_c0_g1_i3
TRINITY_DN15844_c0_g2_i1,TRINITY_DN15844_c0_g2_i1
TRINITY_DN15864_c0_g1_i1,TRINITY_DN15864_c0_g1_i1
TRINITY_DN15864_c0_g2_i1,TRINITY_DN15864_c0_g2_i1
TRINITY_DN15832_c0_g1_i1,TRINITY_DN15832_c0_g1_i1
TRINITY_DN15853_c0_g1_i2,TRINITY_DN15853_c0_g1_i2
TRINITY_DN15865_c0_g1_i1,TRINITY_DN15865_c0_g1_i1
TRINITY_DN15889_c0_g1_i1,TRINITY_DN15889_c0_g1_i1
TRINITY_DN15856_c0_g1_i1,TRINITY_DN15856_c0_g1_i1
TRINITY_DN15810_c0_g1_i2,TRINITY_DN15810_c0_g1_i2
TRINITY_DN15820_c0_g1_i1,TRINITY_DN15820_c0_g1_i1
TRINITY_DN15878_c0_g1_i1,TRINITY_DN15878_c0_g1_i1
TRINITY_DN15892_c0_g1_i1,TRINITY_DN15892_c0_g1_i1
TRINITY_DN15826_c0_g1_i1,TRINITY_DN15826_c0_g1_i1
TRINITY_DN15880_c0_g1_i5,TRINITY_DN15880_c0_g1_i5
TRINITY_DN15897_c0_g1_i1,TRINITY_DN15897_c0_g1_i1
TRINITY_DN15821_c0_g2_i1,TRINITY_DN15821_c0_g2_i1
TRINITY_DN15887_c0_g1_i4,TRINITY_DN15887_c0_g1_i4
TRINITY_DN15808_c0_g1_i1,TRINITY_DN15808_c0_g1_i1
TRINITY_DN15851_c0_g2_i1,TRINITY_DN15851_c0_g2_i1
TRINITY_DN15805_c0_g1_i2,TRINITY_DN15805_c0_g1_i2
TRINITY_DN15805_c0_g2_i1,TRINITY_DN15805_c0_g2_i1
TRINITY_DN15874_c0_g1_i1,TRINITY_DN15874_c0_g1_i1
TRINITY_DN15841_c0_g1_i1,TRINITY_DN15841_c0_g1_i1
TRINITY_DN15835_c0_g1_i1,TRINITY_DN15835_c0_g1_i1
TRINITY_DN15857_c0_g1_i1,TRINITY_DN15857_c0_g1_i1
TRINITY_DN15873_c0_g1_i1,TRINITY_DN15873_c0_g1_i1
TRINITY_DN15848_c0_g1_i1,TRINITY_DN15848_c0_g1_i1
TRINITY_DN15834_c0_g2_i1,TRINITY_DN15834_c0_g2_i1
TRINITY_DN15882_c0_g1_i1,TRINITY_DN15882_c0_g1_i1
TRINITY_DN15817_c0_g1_i1,TRINITY_DN15817_c0_g1_i1
TRINITY_DN15883_c0_g2_i1,TRINITY_DN15883_c0_g2_i1
TRINITY_DN15815_c0_g1_i1,TRINITY_DN15815_c0_g1_i1
TRINITY_DN15809_c0_g1_i1,TRINITY_DN15809_c0_g1_i1
TRINITY_DN15881_c0_g1_i1,TRINITY_DN15881_c0_g1_i1
TRINITY_DN15879_c0_g1_i1,TRINITY_DN15879_c0_g1_i1
TRINITY_DN15849_c0_g1_i1,TRINITY_DN15849_c0_g1_i1
TRINITY_DN15855_c0_g1_i1,TRINITY_DN15855_c0_g1_i1
TRINITY_DN15869_c0_g1_i1,TRINITY_DN15869_c0_g1_i1
TRINITY_DN15876_c0_g1_i1,TRINITY_DN15876_c0_g1_i1
TRINITY_DN15836_c0_g1_i1,TRINITY_DN15836_c0_g1_i1
TRINITY_DN15827_c0_g1_i4,TRINITY_DN15827_c0_g1_i4
TRINITY_DN15852_c0_g1_i1,TRINITY_DN15852_c0_g1_i1
TRINITY_DN15877_c0_g1_i4,TRINITY_DN15877_c0_g1_i4
TRINITY_DN15877_c0_g2_i3,TRINITY_DN15877_c0_g2_i3
TRINITY_DN15813_c0_g1_i1,TRINITY_DN15813_c0_g1_i1
TRINITY_DN15893_c1_g4_i1,TRINITY_DN15893_c1_g4_i1
TRINITY_DN15866_c0_g1_i4,TRINITY_DN15866_c0_g1_i4
TRINITY_DN28423_c0_g1_i1,TRINITY_DN28423_c0_g1_i1
TRINITY_DN28416_c0_g1_i2,TRINITY_DN28416_c0_g1_i2
TRINITY_DN28436_c0_g2_i1,TRINITY_DN28436_c0_g2_i1
TRINITY_DN28457_c0_g1_i1,TRINITY_DN28457_c0_g1_i1
TRINITY_DN28444_c0_g1_i2,TRINITY_DN28444_c0_g1_i2
TRINITY_DN28466_c0_g1_i1,TRINITY_DN28466_c0_g1_i1
TRINITY_DN28465_c0_g1_i1,TRINITY_DN28465_c0_g1_i1
TRINITY_DN28441_c0_g1_i1,TRINITY_DN28441_c0_g1_i1
TRINITY_DN28418_c0_g1_i1,TRINITY_DN28418_c0_g1_i1
TRINITY_DN28496_c0_g1_i2,TRINITY_DN28496_c0_g1_i2
TRINITY_DN28498_c0_g1_i2,TRINITY_DN28498_c0_g1_i2
TRINITY_DN28428_c0_g1_i1,TRINITY_DN28428_c0_g1_i1
TRINITY_DN28469_c0_g1_i1,TRINITY_DN28469_c0_g1_i1
TRINITY_DN28440_c0_g1_i1,TRINITY_DN28440_c0_g1_i1
TRINITY_DN28493_c1_g1_i1,TRINITY_DN28493_c1_g1_i1
TRINITY_DN28493_c0_g1_i1,TRINITY_DN28493_c0_g1_i1
TRINITY_DN28420_c0_g1_i1,TRINITY_DN28420_c0_g1_i1
TRINITY_DN28407_c0_g1_i1,TRINITY_DN28407_c0_g1_i1
TRINITY_DN28427_c0_g2_i1,TRINITY_DN28427_c0_g2_i1
TRINITY_DN28462_c0_g1_i1,TRINITY_DN28462_c0_g1_i1
TRINITY_DN28491_c0_g1_i1,TRINITY_DN28491_c0_g1_i1
TRINITY_DN28499_c3_g1_i1,TRINITY_DN28499_c3_g1_i1
TRINITY_DN28499_c1_g1_i5,TRINITY_DN28499_c1_g1_i5
TRINITY_DN28499_c2_g1_i2,TRINITY_DN28499_c2_g1_i2
TRINITY_DN28499_c0_g1_i1,TRINITY_DN28499_c0_g1_i1
TRINITY_DN28456_c0_g1_i1,TRINITY_DN28456_c0_g1_i1
TRINITY_DN17317_c0_g1_i1,TRINITY_DN17317_c0_g1_i1
TRINITY_DN17330_c0_g1_i1,TRINITY_DN17330_c0_g1_i1
TRINITY_DN17378_c1_g1_i1,TRINITY_DN17378_c1_g1_i1
TRINITY_DN17326_c3_g1_i1,TRINITY_DN17326_c3_g1_i1
TRINITY_DN17326_c1_g1_i1,TRINITY_DN17326_c1_g1_i1
TRINITY_DN17398_c0_g1_i1,TRINITY_DN17398_c0_g1_i1
TRINITY_DN17368_c0_g1_i1,TRINITY_DN17368_c0_g1_i1
TRINITY_DN17368_c0_g2_i1,TRINITY_DN17368_c0_g2_i1
TRINITY_DN17338_c0_g1_i1,TRINITY_DN17338_c0_g1_i1
TRINITY_DN17322_c0_g1_i1,TRINITY_DN17322_c0_g1_i1
TRINITY_DN17346_c0_g1_i1,TRINITY_DN17346_c0_g1_i1
TRINITY_DN17383_c0_g1_i1,TRINITY_DN17383_c0_g1_i1
TRINITY_DN17304_c0_g1_i1,TRINITY_DN17304_c0_g1_i1
TRINITY_DN17333_c0_g1_i1,TRINITY_DN17333_c0_g1_i1
TRINITY_DN17335_c0_g1_i1,TRINITY_DN17335_c0_g1_i1
TRINITY_DN17366_c0_g1_i3,TRINITY_DN17366_c0_g1_i3
TRINITY_DN17366_c0_g2_i1,TRINITY_DN17366_c0_g2_i1
TRINITY_DN17366_c3_g1_i1,TRINITY_DN17366_c3_g1_i1
TRINITY_DN17366_c1_g1_i1,TRINITY_DN17366_c1_g1_i1
TRINITY_DN17375_c0_g1_i2,TRINITY_DN17375_c0_g1_i2
TRINITY_DN17372_c0_g2_i1,TRINITY_DN17372_c0_g2_i1
TRINITY_DN17372_c0_g3_i1,TRINITY_DN17372_c0_g3_i1
TRINITY_DN17372_c3_g1_i2,TRINITY_DN17372_c3_g1_i2
TRINITY_DN17372_c1_g3_i2,TRINITY_DN17372_c1_g3_i2
TRINITY_DN17372_c1_g2_i1,TRINITY_DN17372_c1_g2_i1
TRINITY_DN17372_c1_g1_i1,TRINITY_DN17372_c1_g1_i1
TRINITY_DN17372_c2_g1_i1,TRINITY_DN17372_c2_g1_i1
TRINITY_DN17379_c0_g1_i1,TRINITY_DN17379_c0_g1_i1
TRINITY_DN17342_c0_g1_i1,TRINITY_DN17342_c0_g1_i1
TRINITY_DN17342_c0_g2_i1,TRINITY_DN17342_c0_g2_i1
TRINITY_DN17325_c0_g1_i1,TRINITY_DN17325_c0_g1_i1
TRINITY_DN17312_c0_g1_i1,TRINITY_DN17312_c0_g1_i1
TRINITY_DN17373_c0_g1_i1,TRINITY_DN17373_c0_g1_i1
TRINITY_DN17341_c0_g1_i1,TRINITY_DN17341_c0_g1_i1
TRINITY_DN17384_c0_g1_i1,TRINITY_DN17384_c0_g1_i1
TRINITY_DN17384_c0_g2_i1,TRINITY_DN17384_c0_g2_i1
TRINITY_DN17381_c0_g1_i1,TRINITY_DN17381_c0_g1_i1
